algo,dataset,n,avg_time_us,avg_char_cmps
QuickSort,random,100,32.7143,15874
QuickSort,reversed,100,20.4286,14063
QuickSort,nearly,100,22.5714,13538
MergeSort,random,100,40.8571,601
MergeSort,reversed,100,33.8571,414
MergeSort,nearly,100,24.8571,389
QuickSort,random,200,63.5714,31290
QuickSort,reversed,200,41.1429,28094
QuickSort,nearly,200,45.4286,27938
MergeSort,random,200,622.143,1486
MergeSort,reversed,200,142,1015
MergeSort,nearly,200,186.286,1077
QuickSort,random,300,75.5714,43743
QuickSort,reversed,300,57.4286,41064
QuickSort,nearly,300,50.5714,38650
MergeSort,random,300,160.857,2522
MergeSort,reversed,300,121.571,1695
MergeSort,nearly,300,102.286,1989
QuickSort,random,400,79.2857,60788
QuickSort,reversed,400,56,56969
QuickSort,nearly,400,55.8571,57175
MergeSort,random,400,231.714,3619
MergeSort,reversed,400,201.429,2442
MergeSort,nearly,400,173.857,2804
QuickSort,random,500,108.286,77249
QuickSort,reversed,500,59,60316
QuickSort,nearly,500,58.4286,60315
MergeSort,random,500,422.429,4825
MergeSort,reversed,500,167.857,3071
MergeSort,nearly,500,128.714,3790
QuickSort,random,600,131.286,93549
QuickSort,reversed,600,83.7143,80363
QuickSort,nearly,600,75,78692
MergeSort,random,600,320.571,6098
MergeSort,reversed,600,275.857,4049
MergeSort,nearly,600,202.714,4718
QuickSort,random,700,154.571,108328
QuickSort,reversed,700,100.714,103049
QuickSort,nearly,700,108.714,102292
MergeSort,random,700,282.429,7411
MergeSort,reversed,700,221.143,4938
MergeSort,nearly,700,191.286,5850
QuickSort,random,800,217.571,121501
QuickSort,reversed,800,131.286,115308
QuickSort,nearly,800,112.286,114484
MergeSort,random,800,324,8747
MergeSort,reversed,800,270.429,5777
MergeSort,nearly,800,230,6987
QuickSort,random,900,206,140207
QuickSort,reversed,900,124.429,117251
QuickSort,nearly,900,114.429,116796
MergeSort,random,900,426.857,10175
MergeSort,reversed,900,456.286,6506
MergeSort,nearly,900,313.714,7985
QuickSort,random,1000,227.143,153149
QuickSort,reversed,1000,121.571,118942
