algo,dataset,n,avg_time_us,avg_char_ops
StringQuickSort,random,100,8,789
StringQuickSort,reversed,100,23.8571,2983
StringQuickSort,nearly,100,8.71429,1182
StringMergeSortLCP,random,100,10.7143,601
StringMergeSortLCP,reversed,100,10.8571,414
StringMergeSortLCP,nearly,100,9.28571,389
MSDRadix,random,100,18.2857,350
MSDRadix,reversed,100,17,350
MSDRadix,nearly,100,15.1429,350
MSDRadixCutover,random,100,3,304
MSDRadixCutover,reversed,100,2.42857,322
MSDRadixCutover,nearly,100,3.28571,306
StringQuickSort,random,200,18.5714,1666
StringQuickSort,reversed,200,106.429,7413
StringQuickSort,nearly,200,46.1429,3024
StringMergeSortLCP,random,200,76.8571,1486
StringMergeSortLCP,reversed,200,20.1429,1015
StringMergeSortLCP,nearly,200,20.8571,1077
MSDRadix,random,200,36,784
MSDRadix,reversed,200,51.1429,784
MSDRadix,nearly,200,33.5714,784
MSDRadixCutover,random,200,90.7143,704
MSDRadixCutover,reversed,200,6.42857,808
MSDRadixCutover,nearly,200,10.8571,741
StringQuickSort,random,300,24.1429,2793
StringQuickSort,reversed,300,59.5714,12281
StringQuickSort,nearly,300,25.5714,4963
StringMergeSortLCP,random,300,31.1429,2522
StringMergeSortLCP,reversed,300,19.7143,1695
StringMergeSortLCP,nearly,300,19.5714,1989
MSDRadix,random,300,60,1242
MSDRadix,reversed,300,91,1242
MSDRadix,nearly,300,44.1429,1242
MSDRadixCutover,random,300,10.2857,1183
MSDRadixCutover,reversed,300,10.4286,1436
MSDRadixCutover,nearly,300,63.8571,1257
StringQuickSort,random,400,51,3832
StringQuickSort,reversed,400,153.571,16866
StringQuickSort,nearly,400,53.4286,8010
StringMergeSortLCP,random,400,49.8571,3619
StringMergeSortLCP,reversed,400,23.4286,2442
StringMergeSortLCP,nearly,400,24.7143,2804
MSDRadix,random,400,37.2857,1672
MSDRadix,reversed,400,37,1672
MSDRadix,nearly,400,37,1672
MSDRadixCutover,random,400,9.14286,1727
MSDRadixCutover,reversed,400,10.5714,2171
MSDRadixCutover,nearly,400,8.42857,1811
StringQuickSort,random,500,33.8571,5292
StringQuickSort,reversed,500,97.4286,21007
StringQuickSort,nearly,500,46.8571,10678
StringMergeSortLCP,random,500,61.5714,4825
StringMergeSortLCP,reversed,500,29,3071
StringMergeSortLCP,nearly,500,83.1429,3790
MSDRadix,random,500,41.2857,2100
MSDRadix,reversed,500,42.2857,2100
MSDRadix,nearly,500,43.4286,2100
MSDRadixCutover,random,500,13,2314
MSDRadixCutover,reversed,500,14.2857,3028
MSDRadixCutover,nearly,500,11.5714,2448
StringQuickSort,random,600,40.8571,6141
StringQuickSort,reversed,600,120.143,25445
StringQuickSort,nearly,600,82.1429,13824
StringMergeSortLCP,random,600,116.714,6098
StringMergeSortLCP,reversed,600,60.8571,4049
StringMergeSortLCP,nearly,600,52.4286,4718
MSDRadix,random,600,49.2857,2540
MSDRadix,reversed,600,47.7143,2540
MSDRadix,nearly,600,48.4286,2540
MSDRadixCutover,random,600,16.8571,2919
MSDRadixCutover,reversed,600,19,3976
MSDRadixCutover,nearly,600,15.2857,3119
StringQuickSort,random,700,55,7711
StringQuickSort,reversed,700,153.286,30074
StringQuickSort,nearly,700,82.8571,17837
StringMergeSortLCP,random,700,85.7143,7411
StringMergeSortLCP,reversed,700,48.4286,4938
StringMergeSortLCP,nearly,700,128.429,5850
MSDRadix,random,700,70.8571,2974
MSDRadix,reversed,700,58.5714,2974
MSDRadix,nearly,700,57.4286,2974
MSDRadixCutover,random,700,20.8571,3565
MSDRadixCutover,reversed,700,31.1429,5146
MSDRadixCutover,nearly,700,19.4286,3825
StringQuickSort,random,800,62.5714,8353
StringQuickSort,reversed,800,305,34785
StringQuickSort,nearly,800,145.857,15731
StringMergeSortLCP,random,800,141.571,8747
StringMergeSortLCP,reversed,800,72.2857,5777
StringMergeSortLCP,nearly,800,67.4286,6987
MSDRadix,random,800,64.8571,3406
MSDRadix,reversed,800,65.2857,3406
MSDRadix,nearly,800,68.1429,3406
MSDRadixCutover,random,800,26.8571,4222
MSDRadixCutover,reversed,800,33,6405
MSDRadixCutover,nearly,800,22.2857,4597
StringQuickSort,random,900,73.4286,9535
StringQuickSort,reversed,900,199.857,39111
StringQuickSort,nearly,900,115.857,24156
StringMergeSortLCP,random,900,115.429,10175
StringMergeSortLCP,reversed,900,58.1429,6506
StringMergeSortLCP,nearly,900,77.4286,7985
MSDRadix,random,900,112,3860
MSDRadix,reversed,900,66.5714,3860
MSDRadix,nearly,900,149.429,3860
MSDRadixCutover,random,900,54.4286,4887
MSDRadixCutover,reversed,900,66,7733
MSDRadixCutover,nearly,900,43.8571,5425
StringQuickSort,random,1000,141.429,11179
StringQuickSort,reversed,1000,339.429,43702
StringQuickSort,nearly,1000,203.286,28112
StringMergeSortLCP,random,1000,160.429,11538
StringMergeSortLCP,reversed,1000,81.5714,7207
StringMergeSortLCP,nearly,1000,118.286,9078
MSDRadix,random,1000,83.5714,4328
MSDRadix,reversed,1000,86.1429,4328
MSDRadix,nearly,1000,140,4328
MSDRadixCutover,random,1000,89.8571,5633
MSDRadixCutover,reversed,1000,48.8571,9183
MSDRadixCutover,nearly,1000,32,6207
StringQuickSort,random,1100,97.2857,12309
StringQuickSort,reversed,1100,245.429,48956
StringQuickSort,nearly,1100,141.429,27762
StringMergeSortLCP,random,1100,144.429,12995
StringMergeSortLCP,reversed,1100,72.5714,8282
StringMergeSortLCP,nearly,1100,101.571,10351
MSDRadix,random,1100,85.8571,4782
MSDRadix,reversed,1100,74.7143,4782
MSDRadix,nearly,1100,77.1429,4782
MSDRadixCutover,random,1100,42.4286,6351
MSDRadixCutover,reversed,1100,55,10786
MSDRadixCutover,nearly,1100,36.7143,7059
StringQuickSort,random,1200,112.286,13751
StringQuickSort,reversed,1200,279,53659
StringQuickSort,nearly,1200,178.857,36171
StringMergeSortLCP,random,1200,203,14497
StringMergeSortLCP,reversed,1200,83.7143,9342
StringMergeSortLCP,nearly,1200,92.7143,11735
