step,processed,F0_mean,Nt_mean,Nt_sd,Nt_minus_sd,Nt_plus_sd
0,5000,4887.100000,4926.439050,133.701668,4792.737383,5060.140718
1,10000,9712.866667,9732.972936,267.687333,9465.285603,10000.660269
2,15000,14529.566667,14494.689700,492.278394,14002.411305,14986.968094
3,20000,19337.100000,19192.729557,674.069837,18518.659720,19866.799394
4,25000,24143.800000,23978.913480,733.052255,23245.861226,24711.965735
5,30000,28942.166667,28922.343853,834.961645,28087.382209,29757.305498
6,35000,33734.733333,33910.629156,1052.602125,32858.027031,34963.231280
7,40000,38522.333333,38869.783350,1259.053839,37610.729511,40128.837188
8,45000,43303.700000,43452.558236,1421.977445,42030.580791,44874.535681
9,50000,48082.333333,48346.898022,1528.893478,46818.004544,49875.791501
10,55000,52851.600000,53191.470785,1577.484096,51613.986689,54768.954881
11,60000,57622.466667,58111.283740,1340.366035,56770.917705,59451.649775
12,65000,62386.066667,62755.118766,1638.428328,61116.690438,64393.547093
13,70000,67143.100000,67494.733060,2031.159200,65463.573860,69525.892260
14,75000,71903.366667,72551.242539,2074.805264,70476.437274,74626.047803
15,80000,76660.300000,77465.297306,2350.939499,75114.357807,79816.236804
16,85000,81409.200000,82102.848344,2033.353789,80069.494555,84136.202133
17,90000,86154.666667,86935.569884,2268.866529,84666.703355,89204.436412
18,95000,90898.300000,91870.236062,2690.892826,89179.343236,94561.128887
19,100000,95634.500000,96487.775144,3114.170065,93373.605079,99601.945209
