step,processed,F0_mean,Nt_mean,Nt_sd,Nt_minus_sd,Nt_plus_sd
0,5000,4887.100000,5964.046050,48.203212,5915.842838,6012.249262
1,10000,9712.866667,9993.011756,124.123189,9868.888567,10117.134945
2,15000,14529.566667,14552.515805,187.418967,14365.096839,14739.934772
3,20000,19337.100000,19273.958867,286.052330,18987.906538,19560.011197
4,25000,24143.800000,24064.130983,356.232592,23707.898391,24420.363575
5,30000,28942.166667,28910.286973,404.211006,28506.075967,29314.497978
6,35000,33734.733333,33752.694394,507.472976,33245.221418,34260.167369
7,40000,38522.333333,38505.189758,614.579879,37890.609880,39119.769637
8,45000,43303.700000,43285.528121,738.062151,42547.465971,44023.590272
9,50000,48082.333333,48059.664111,811.810598,47247.853514,48871.474709
10,55000,52851.600000,52794.466479,925.693095,51868.773384,53720.159573
11,60000,57622.466667,57583.111125,962.742674,56620.368451,58545.853798
12,65000,62386.066667,62356.844612,1027.990290,61328.854323,63384.834902
13,70000,67143.100000,67072.483097,1252.222436,65820.260661,68324.705533
14,75000,71903.366667,71852.449393,1197.831263,70654.618130,73050.280656
15,80000,76660.300000,76767.081400,1315.328825,75451.752575,78082.410224
16,85000,81409.200000,81476.508663,1377.257834,80099.250829,82853.766497
17,90000,86154.666667,86343.298141,1520.931641,84822.366499,87864.229782
18,95000,90898.300000,91085.479412,1624.913797,89460.565615,92710.393210
19,100000,95634.500000,95924.554634,1541.070929,94383.483706,97465.625563
